latitude;longitude;elevation;time
-3.74468661;-38.57741007;16.312;2024-04-09 13:14:22
-3.74468491;-38.57741068;16.476;2024-04-09 13:14:23
-3.74468784;-38.57741192;16.121;2024-04-09 13:14:24
-3.74468931;-38.57741166;15.629;2024-04-09 13:14:25
-3.74469007;-38.57741203;15.846;2024-04-09 13:14:26
-3.74469370;-38.57741378;15.975;2024-04-09 13:14:27
-3.74469538;-38.57741455;16.039;2024-04-09 13:14:28
-3.74469388;-38.57741314;16.486;2024-04-09 13:14:29
-3.74469179;-38.57741077;16.998;2024-04-09 13:14:30
-3.74469544;-38.57741263;17.009;2024-04-09 13:14:31
-3.74469721;-38.57741417;17.140;2024-04-09 13:14:32
-3.74469670;-38.57741351;17.438;2024-04-09 13:14:33
-3.74469613;-38.57741496;17.870;2024-04-09 13:14:34
-3.74469469;-38.57741259;17.800;2024-04-09 13:14:35
-3.74469546;-38.57741545;17.860;2024-04-09 13:14:36
-3.74469529;-38.57741425;17.621;2024-04-09 13:14:37
-3.74469764;-38.57741622;18.046;2024-04-09 13:14:38
-3.74469939;-38.57741757;18.377;2024-04-09 13:14:39
-3.74470335;-38.57741960;18.656;2024-04-09 13:14:40
-3.74469839;-38.57742071;18.908;2024-04-09 13:14:41
-3.74469725;-38.57742196;19.128;2024-04-09 13:14:42
-3.74469355;-38.57742225;19.404;2024-04-09 13:14:43
-3.74469192;-38.57742099;19.801;2024-04-09 13:14:44
-3.74469267;-38.57742128;19.805;2024-04-09 13:14:45
-3.74469226;-38.57742300;19.534;2024-04-09 13:14:46
-3.74469178;-38.57742443;19.495;2024-04-09 13:14:47
-3.74468883;-38.57742348;19.257;2024-04-09 13:14:48
-3.74468726;-38.57742182;19.469;2024-04-09 13:14:49
-3.74468956;-38.57742338;20.072;2024-04-09 13:14:50
-3.74469124;-38.57742481;20.420;2024-04-09 13:14:51
-3.74469323;-38.57742398;20.527;2024-04-09 13:14:52
-3.74469405;-38.57742690;20.688;2024-04-09 13:14:53
-3.74469751;-38.57742838;20.808;2024-04-09 13:14:54
-3.74470068;-38.57743186;20.829;2024-04-09 13:14:55
-3.74470192;-38.57743506;20.738;2024-04-09 13:14:56
-3.74470363;-38.57743661;20.398;2024-04-09 13:14:57
-3.74470519;-38.57743677;20.456;2024-04-09 13:14:58
-3.74470652;-38.57743673;20.064;2024-04-09 13:14:59
-3.74470698;-38.57743888;20.293;2024-04-09 13:15:00
-3.74470946;-38.57743546;19.632;2024-04-09 13:15:01
-3.74470864;-38.57743721;19.413;2024-04-09 13:15:02
-3.74470783;-38.57743418;19.315;2024-04-09 13:15:03
-3.74470740;-38.57743476;19.279;2024-04-09 13:15:04
-3.74470720;-38.57743457;19.723;2024-04-09 13:15:05
-3.74470649;-38.57743241;19.667;2024-04-09 13:15:06
-3.74470567;-38.57743107;19.548;2024-04-09 13:15:07
-3.74470662;-38.57742902;19.541;2024-04-09 13:15:08
-3.74470812;-38.57742858;19.498;2024-04-09 13:15:09
-3.74470284;-38.57742542;19.808;2024-04-09 13:15:10
-3.74470388;-38.57742475;20.273;2024-04-09 13:15:11
-3.74470519;-38.57742807;20.265;2024-04-09 13:15:12
-3.74470289;-38.57742856;20.416;2024-04-09 13:15:13
-3.74470180;-38.57742862;20.785;2024-04-09 13:15:14
-3.74470324;-38.57742840;20.947;2024-04-09 13:15:15
-3.74470503;-38.57742895;21.095;2024-04-09 13:15:16
-3.74470298;-38.57742835;21.363;2024-04-09 13:15:17
-3.74469868;-38.57742844;21.228;2024-04-09 13:15:18
-3.74470275;-38.57742705;21.044;2024-04-09 13:15:19
-3.74470584;-38.57742480;20.942;2024-04-09 13:15:20
-3.74470948;-38.57742733;20.847;2024-04-09 13:15:21
-3.74471164;-38.57743204;20.808;2024-04-09 13:15:22
-3.74471311;-38.57743580;20.956;2024-04-09 13:15:23
-3.74471304;-38.57743594;20.837;2024-04-09 13:15:24
-3.74471227;-38.57743427;20.895;2024-04-09 13:15:25
-3.74471083;-38.57743670;20.625;2024-04-09 13:15:26
-3.74470671;-38.57743833;20.662;2024-04-09 13:15:27
-3.74470814;-38.57743610;20.684;2024-04-09 13:15:28
-3.74471241;-38.57743487;20.506;2024-04-09 13:15:29
-3.74471728;-38.57743543;20.813;2024-04-09 13:15:30
-3.74471912;-38.57743372;20.917;2024-04-09 13:15:31
-3.74471873;-38.57743134;20.700;2024-04-09 13:15:32
-3.74472075;-38.57743228;20.440;2024-04-09 13:15:33
-3.74472157;-38.57742990;20.344;2024-04-09 13:15:34
-3.74472180;-38.57743055;20.195;2024-04-09 13:15:35
-3.74472366;-38.57743094;19.845;2024-04-09 13:15:36
-3.74472484;-38.57743107;19.735;2024-04-09 13:15:37
-3.74472821;-38.57743179;19.771;2024-04-09 13:15:38
-3.74473065;-38.57743089;20.152;2024-04-09 13:15:39
-3.74473276;-38.57743118;20.711;2024-04-09 13:15:40
-3.74473022;-38.57742812;20.656;2024-04-09 13:15:41
-3.74473015;-38.57742584;20.971;2024-04-09 13:15:42
-3.74472804;-38.57742525;21.088;2024-04-09 13:15:43
-3.74472742;-38.57742727;21.048;2024-04-09 13:15:44
-3.74472913;-38.57743058;21.356;2024-04-09 13:15:45
-3.74473067;-38.57742866;21.264;2024-04-09 13:15:46
-3.74473041;-38.57743078;21.796;2024-04-09 13:15:47
-3.74473085;-38.57743324;22.245;2024-04-09 13:15:48
-3.74472941;-38.57743485;22.558;2024-04-09 13:15:49
-3.74472817;-38.57743628;22.468;2024-04-09 13:15:50
-3.74472628;-38.57743222;22.312;2024-04-09 13:15:51
-3.74472434;-38.57742402;22.573;2024-04-09 13:15:52
-3.74472425;-38.57741332;22.222;2024-04-09 13:15:53
-3.74473181;-38.57740683;22.269;2024-04-09 13:15:54
-3.74473932;-38.57740012;21.914;2024-04-09 13:15:55
-3.74475225;-38.57739254;21.450;2024-04-09 13:15:56
-3.74476396;-38.57738740;21.282;2024-04-09 13:15:57
-3.74477504;-38.57738087;21.570;2024-04-09 13:15:58
-3.74478662;-38.57737548;21.548;2024-04-09 13:15:59
-3.74479822;-38.57737272;21.277;2024-04-09 13:16:00
-3.74481310;-38.57736811;21.351;2024-04-09 13:16:01
-3.74482749;-38.57736373;21.534;2024-04-09 13:16:02
-3.74484134;-38.57735925;21.355;2024-04-09 13:16:03
-3.74485533;-38.57735480;20.967;2024-04-09 13:16:04
-3.74486931;-38.57735073;20.848;2024-04-09 13:16:05
-3.74488305;-38.57734666;20.816;2024-04-09 13:16:06
-3.74489655;-38.57734293;20.716;2024-04-09 13:16:07
-3.74491041;-38.57733936;20.734;2024-04-09 13:16:08
-3.74492390;-38.57733597;20.636;2024-04-09 13:16:09
-3.74493678;-38.57733273;20.664;2024-04-09 13:16:10
-3.74494995;-38.57732909;20.765;2024-04-09 13:16:11
-3.74496371;-38.57732501;20.628;2024-04-09 13:16:12
-3.74498089;-38.57731962;20.531;2024-04-09 13:16:13
-3.74500055;-38.57731363;20.586;2024-04-09 13:16:14
-3.74502225;-38.57730741;20.263;2024-04-09 13:16:15
-3.74504633;-38.57730188;20.487;2024-04-09 13:16:16
-3.74507136;-38.57729683;20.548;2024-04-09 13:16:17
-3.74509724;-38.57729036;20.369;2024-04-09 13:16:18
-3.74512371;-38.57728150;20.318;2024-04-09 13:16:19
-3.74515016;-38.57727063;20.198;2024-04-09 13:16:20
-3.74517514;-38.57726021;20.155;2024-04-09 13:16:21
-3.74519852;-38.57725132;20.114;2024-04-09 13:16:22
-3.74522114;-38.57724366;20.012;2024-04-09 13:16:23
-3.74524378;-38.57723655;20.031;2024-04-09 13:16:24
-3.74526721;-38.57722952;19.952;2024-04-09 13:16:25
-3.74529021;-38.57722230;19.969;2024-04-09 13:16:26
-3.74531064;-38.57721513;19.906;2024-04-09 13:16:27
-3.74532582;-38.57720936;19.780;2024-04-09 13:16:28
-3.74533414;-38.57720594;19.617;2024-04-09 13:16:29
-3.74533766;-38.57720450;19.682;2024-04-09 13:16:30
-3.74533650;-38.57720452;19.636;2024-04-09 13:16:31
-3.74533632;-38.57720440;19.522;2024-04-09 13:16:32
-3.74533809;-38.57720390;19.359;2024-04-09 13:16:33
-3.74534748;-38.57720261;19.473;2024-04-09 13:16:34
-3.74536528;-38.57720323;19.458;2024-04-09 13:16:35
-3.74538606;-38.57721071;19.186;2024-04-09 13:16:36
-3.74540754;-38.57722886;19.014;2024-04-09 13:16:37
-3.74542479;-38.57726010;18.939;2024-04-09 13:16:38
-3.74543660;-38.57729867;18.856;2024-04-09 13:16:39
-3.74544633;-38.57734029;18.672;2024-04-09 13:16:40
-3.74545676;-38.57738184;18.402;2024-04-09 13:16:41
-3.74546183;-38.57742682;18.443;2024-04-09 13:16:42
-3.74548015;-38.57746969;18.417;2024-04-09 13:16:43
-3.74549759;-38.57750798;18.393;2024-04-09 13:16:44
-3.74551743;-38.57754447;18.435;2024-04-09 13:16:45
-3.74553737;-38.57757969;18.407;2024-04-09 13:16:46
-3.74555811;-38.57761295;18.233;2024-04-09 13:16:47
-3.74557786;-38.57764266;18.339;2024-04-09 13:16:48
-3.74559980;-38.57767046;18.301;2024-04-09 13:16:49
-3.74562515;-38.57770081;18.407;2024-04-09 13:16:50
-3.74565165;-38.57773276;18.681;2024-04-09 13:16:51
-3.74568202;-38.57776558;18.700;2024-04-09 13:16:52
-3.74571442;-38.57779892;18.749;2024-04-09 13:16:53
-3.74574859;-38.57783195;18.600;2024-04-09 13:16:54
-3.74578552;-38.57786373;18.571;2024-04-09 13:16:55
-3.74582603;-38.57789182;18.484;2024-04-09 13:16:56
-3.74587237;-38.57791629;18.400;2024-04-09 13:16:57
-3.74592340;-38.57793253;18.425;2024-04-09 13:16:58
-3.74597681;-38.57794036;18.717;2024-04-09 13:16:59
-3.74602761;-38.57793934;18.667;2024-04-09 13:17:00
-3.74607692;-38.57793270;18.607;2024-04-09 13:17:01
-3.74612439;-38.57792055;18.366;2024-04-09 13:17:02
-3.74616698;-38.57790803;18.318;2024-04-09 13:17:03
-3.74620767;-38.57789708;18.342;2024-04-09 13:17:04
-3.74624567;-38.57788542;18.385;2024-04-09 13:17:05
-3.74628338;-38.57787307;18.341;2024-04-09 13:17:06
-3.74631856;-38.57786108;18.531;2024-04-09 13:17:07
-3.74635400;-38.57784994;18.319;2024-04-09 13:17:08
-3.74639692;-38.57783740;18.394;2024-04-09 13:17:09
-3.74644874;-38.57782337;18.325;2024-04-09 13:17:10
-3.74651029;-38.57780277;18.698;2024-04-09 13:17:11
-3.74658063;-38.57778405;18.803;2024-04-09 13:17:12
-3.74665701;-38.57776164;18.986;2024-04-09 13:17:13
-3.74673211;-38.57773887;19.241;2024-04-09 13:17:14
-3.74679957;-38.57771659;19.415;2024-04-09 13:17:15
-3.74685923;-38.57769740;19.554;2024-04-09 13:17:16
-3.74690445;-38.57768230;19.698;2024-04-09 13:17:17
-3.74694185;-38.57766962;20.139;2024-04-09 13:17:18
-3.74698350;-38.57765566;19.999;2024-04-09 13:17:19
-3.74703279;-38.57763539;20.087;2024-04-09 13:17:20
-3.74708927;-38.57760766;20.157;2024-04-09 13:17:21
-3.74714974;-38.57757026;20.355;2024-04-09 13:17:22
-3.74720695;-38.57752083;20.469;2024-04-09 13:17:23
-3.74726453;-38.57746727;20.725;2024-04-09 13:17:24
-3.74731955;-38.57740662;20.751;2024-04-09 13:17:25
-3.74737398;-38.57734333;20.932;2024-04-09 13:17:26
-3.74742973;-38.57728102;21.149;2024-04-09 13:17:27
-3.74748196;-38.57721605;21.017;2024-04-09 13:17:28
-3.74753626;-38.57714847;21.110;2024-04-09 13:17:29
-3.74759015;-38.57708201;21.270;2024-04-09 13:17:30
-3.74764500;-38.57701595;21.410;2024-04-09 13:17:31
-3.74769799;-38.57695166;21.189;2024-04-09 13:17:32
-3.74774877;-38.57688609;21.161;2024-04-09 13:17:33
-3.74779740;-38.57682223;21.270;2024-04-09 13:17:34
-3.74784513;-38.57675864;20.983;2024-04-09 13:17:35
-3.74788918;-38.57669342;20.956;2024-04-09 13:17:36
-3.74792509;-38.57662671;20.848;2024-04-09 13:17:37
-3.74794849;-38.57655444;20.855;2024-04-09 13:17:38
-3.74796044;-38.57647951;20.898;2024-04-09 13:17:39
-3.74795943;-38.57640359;20.760;2024-04-09 13:17:40
-3.74794651;-38.57632834;20.754;2024-04-09 13:17:41
-3.74792506;-38.57625114;20.635;2024-04-09 13:17:42
-3.74790157;-38.57617229;20.460;2024-04-09 13:17:43
-3.74787710;-38.57609005;20.201;2024-04-09 13:17:44
-3.74784910;-38.57600476;19.953;2024-04-09 13:17:45
-3.74782116;-38.57591676;19.873;2024-04-09 13:17:46
-3.74779433;-38.57582603;19.618;2024-04-09 13:17:47
-3.74776967;-38.57573317;19.488;2024-04-09 13:17:48
-3.74774464;-38.57563984;19.330;2024-04-09 13:17:49
-3.74771823;-38.57554504;19.077;2024-04-09 13:17:50
-3.74769208;-38.57544784;18.860;2024-04-09 13:17:51
-3.74766168;-38.57535179;18.744;2024-04-09 13:17:52
-3.74762938;-38.57525642;18.584;2024-04-09 13:17:53
-3.74759710;-38.57516156;18.502;2024-04-09 13:17:54
-3.74756454;-38.57506759;18.315;2024-04-09 13:17:55
-3.74753314;-38.57497435;18.251;2024-04-09 13:17:56
-3.74750270;-38.57488322;18.090;2024-04-09 13:17:57
-3.74747238;-38.57479248;17.910;2024-04-09 13:17:58
-3.74744331;-38.57470210;17.674;2024-04-09 13:17:59
-3.74741434;-38.57461353;17.494;2024-04-09 13:18:00
-3.74738350;-38.57452953;17.549;2024-04-09 13:18:01
-3.74735417;-38.57445357;17.246;2024-04-09 13:18:02
-3.74732999;-38.57438190;16.865;2024-04-09 13:18:03
-3.74730738;-38.57431532;16.897;2024-04-09 13:18:04
-3.74728590;-38.57424919;16.776;2024-04-09 13:18:05
-3.74726550;-38.57417721;16.649;2024-04-09 13:18:06
-3.74724465;-38.57410087;16.669;2024-04-09 13:18:07
-3.74722226;-38.57402148;16.474;2024-04-09 13:18:08
-3.74719607;-38.57394115;16.297;2024-04-09 13:18:09
-3.74717201;-38.57385930;16.198;2024-04-09 13:18:10
-3.74714608;-38.57377878;15.796;2024-04-09 13:18:11
-3.74712083;-38.57369868;15.527;2024-04-09 13:18:12
-3.74709529;-38.57361832;15.133;2024-04-09 13:18:13
-3.74706715;-38.57353757;14.884;2024-04-09 13:18:14
-3.74703820;-38.57345524;14.705;2024-04-09 13:18:15
-3.74701047;-38.57337085;14.423;2024-04-09 13:18:16
-3.74698192;-38.57328470;14.153;2024-04-09 13:18:17
-3.74695331;-38.57319644;14.025;2024-04-09 13:18:18
-3.74692426;-38.57310720;13.818;2024-04-09 13:18:19
-3.74689443;-38.57301837;13.384;2024-04-09 13:18:20
-3.74686811;-38.57293872;13.041;2024-04-09 13:18:21
-3.74684760;-38.57287591;12.762;2024-04-09 13:18:22
-3.74683525;-38.57283418;12.542;2024-04-09 13:18:23
-3.74682240;-38.57279423;12.518;2024-04-09 13:18:24
-3.74680753;-38.57274823;12.302;2024-04-09 13:18:25
-3.74678874;-38.57269335;12.273;2024-04-09 13:18:26
-3.74676556;-38.57263635;11.954;2024-04-09 13:18:27
-3.74673826;-38.57258084;12.079;2024-04-09 13:18:28
-3.74670504;-38.57253021;12.052;2024-04-09 13:18:29
-3.74666087;-38.57249142;11.859;2024-04-09 13:18:30
-3.74660848;-38.57247029;11.456;2024-04-09 13:18:31
-3.74655248;-38.57247119;11.620;2024-04-09 13:18:32
-3.74649712;-38.57248729;11.497;2024-04-09 13:18:33
-3.74644037;-38.57251526;11.450;2024-04-09 13:18:34
-3.74638431;-38.57254413;11.423;2024-04-09 13:18:35
-3.74632731;-38.57257281;11.357;2024-04-09 13:18:36
-3.74626995;-38.57260051;11.183;2024-04-09 13:18:37
-3.74621307;-38.57262822;11.333;2024-04-09 13:18:38
-3.74615623;-38.57265328;11.473;2024-04-09 13:18:39
-3.74610186;-38.57267734;11.346;2024-04-09 13:18:40
-3.74604736;-38.57270114;11.384;2024-04-09 13:18:41
-3.74599232;-38.57272440;11.449;2024-04-09 13:18:42
-3.74593853;-38.57274555;11.334;2024-04-09 13:18:43
-3.74588473;-38.57276583;11.412;2024-04-09 13:18:44
-3.74583283;-38.57278477;11.566;2024-04-09 13:18:45
-3.74578310;-38.57280253;11.573;2024-04-09 13:18:46
-3.74573498;-38.57282019;11.440;2024-04-09 13:18:47
-3.74568414;-38.57283174;11.556;2024-04-09 13:18:48
