RTCData;RTCHora;GPSData;GPSHora;Lat;Long;Altgps;Vel;GPSUpdate;Ax;Ay;Az;Gx;Gy;Gz;indiceAmostra;LatLogger;LongLogger;ElevationLogger;DataLogger;HoraLogger;SpeedLogger;SatellitesLogger;Seconds;LatInter;LongInter
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.49;-1.04;-0.06;1;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.74469544;-38.57741263
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.37;-0.98;0.24;2;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744695617;-38.577412783999996
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.37;-0.61;0.12;3;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744695794;-38.577412937999995
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.49;-0.61;-0.06;4;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744695971;-38.577413092
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.31;-0.85;-0.18;5;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744696148;-38.577413246
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.49;-1.04;0.0;6;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744696325;-38.5774134
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.43;-0.67;0.43;7;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744696502;-38.577413553999996
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.61;-1.04;-0.06;8;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744696679;-38.577413707999995
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.67;-0.85;0.06;9;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744696856;-38.577413862
2024-04-09;10:14:31;0/0/0;0:0:0;;;0.0;0.0;0;-0.07;0.04;-1.04;-0.61;-0.61;-0.06;10;-3.74469544;-38.57741263;17.009;2024-04-09;10:14:31;0.000;33;36871.0;-3.744697033;-38.577414016
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;0.0;-0.98;0.06;1;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.74469721;-38.57741417
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.31;-0.85;-0.06;2;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744697159;-38.577414104
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.49;-0.92;0.06;3;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744697108;-38.577414038
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.49;-0.85;0.0;4;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.7446970569999998;-38.577413971999995
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.43;-0.92;0.06;5;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744697006;-38.577413906
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.55;-0.85;0.0;6;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744696955;-38.57741384
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.55;-0.85;-0.12;7;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744696904;-38.577413774
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.07;0.04;-1.04;-0.55;-0.92;0.24;8;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.7446968529999998;-38.577413708
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.31;-0.79;-0.18;9;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744696802;-38.577413641999996
2024-04-09;10:14:32;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.61;-0.67;0.0;10;-3.74469721;-38.57741417;17.140;2024-04-09;10:14:32;0.000;33;36872.0;-3.744696751;-38.577413576
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.49;-0.79;0.0;1;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.7446967;-38.57741351
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.03;-0.37;-0.79;-0.12;2;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696643;-38.577413655
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.49;-0.98;0.31;3;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696586;-38.5774138
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.55;-0.79;-0.06;4;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696529;-38.577413944999996
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.37;-1.1;0.43;5;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.7446964719999998;-38.57741409
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.03;-0.12;-0.49;0.06;6;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696415;-38.577414235
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.03;-0.49;-0.67;0.12;7;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696358;-38.57741438
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.43;-1.04;0.0;8;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696301;-38.577414525
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.49;-0.67;0.24;9;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.744696244;-38.577414669999996
2024-04-09;10:14:33;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.43;-0.92;0.0;10;-3.7446967;-38.57741351;17.438;2024-04-09;10:14:33;0.000;32;36873.0;-3.7446961869999997;-38.577414815
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.55;-0.98;0.0;1;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.74469613;-38.57741496
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.31;-0.55;0.12;2;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695986;-38.577414723
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.04;-0.37;-0.79;-0.06;3;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695842;-38.577414486
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.67;-0.98;0.0;4;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695698;-38.577414249
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.18;-0.98;-0.06;5;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695554;-38.577414012
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.37;-0.85;0.06;6;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.7446954100000003;-38.577413775
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.55;-0.85;0.06;7;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695266;-38.577413538
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.04;-0.37;-0.85;0.06;8;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744695122;-38.577413301
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.03;-0.37;-0.79;-0.06;9;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744694978;-38.577413064
2024-04-09;10:14:34;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.04;-1.03;-0.24;-0.73;-0.06;10;-3.74469613;-38.57741496;17.870;2024-04-09;10:14:34;0.000;32;36874.0;-3.744694834;-38.577412827
2024-04-09;10:14:35;0/0/0;0:0:0;;;0.0;0.0;0;-0.08;0.03;-1.03;-0.49;-0.98;0.18;1;-3.74469469;-38.57741259;17.800;2024-04-09;10:14:35;0.000;32;36875.0;-3.74469469;-38.57741259
